Date : 2021-06-25 00:40:57
Directory : d:\mazen\Documents\myVsProjects\letScrum\LetScrum
Total : 252 files,  35883 codes, 669 comments, 1693 blanks, all 38245 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-left.scss              | SCSS             |         26 |          1 |          4 |         31 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-right.scss             | SCSS             |         26 |          1 |          4 |         31 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-float-top.scss               | SCSS             |         26 |          1 |          4 |         31 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-left.scss                    | SCSS             |         22 |          1 |          3 |         26 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-right.scss                   | SCSS             |         22 |          1 |          3 |         26 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\speech-bubbles\_bubble-top.scss                     | SCSS             |         22 |          1 |          3 |         26 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\hover.css                                                   | CSS              |      4,201 |        145 |        391 |      4,737 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\hover.scss                                                  | SCSS             |        663 |         16 |        115 |        794 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\TabPanel\TabPanel.component.jsx                              | JavaScript React |        302 |          8 |         21 |        331 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\btnchange\buttonChange.css                                   | CSS              |         57 |          1 |          7 |         65 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\btnchange\buttonChange.js                                    | JavaScript       |         18 |          0 |          2 |         20 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\card\HomeCard.component.jsx                                  | JavaScript React |        116 |          1 |          6 |        123 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\combo-box\ComboBox.component.js                              | JavaScript       |         39 |          4 |          3 |         46 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\combo-box\ComboBox.scss                                      | SCSS             |         13 |          1 |          1 |         15 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\dialog\CustomizedDialogs.js                                  | JavaScript       |        240 |          0 |         16 |        256 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\footer\Footer.component.jsx                                  | JavaScript React |        142 |          0 |          2 |        144 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\footer\Footer.css                                            | CSS              |         96 |          1 |          7 |        104 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\form-input\form-input.component.jsx                          | JavaScript React |         16 |          0 |          2 |         18 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\form-input\form-input.styles.scss                            | SCSS             |         19 |          0 |          2 |         21 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\header\header.component.jsx                                  | JavaScript React |         78 |          1 |          4 |         83 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\header\header.styles.scss                                    | SCSS             |         64 |          1 |         10 |         75 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\image-slider\image-slider.component.jsx                      | JavaScript React |        117 |          0 |          8 |        125 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\product-backlog\BacklogTabPanel.component.js                 | JavaScript       |         71 |          2 |         12 |         85 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\product-backlog\BacklogTabPanel.scss                         | SCSS             |          4 |          1 |          2 |          7 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\product-backlog\ProductBacklogContainer.component.js         | JavaScript       |         48 |         11 |          4 |         63 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\product-backlog\ProductBacklogNOProjects.component.js        | JavaScript       |         93 |          0 |          5 |         98 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\product-backlog\ProductbacklogCard.js                        | JavaScript       |         47 |          0 |          5 |         52 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\product-backlog\productbacklogtable.js                       | JavaScript       |        176 |         19 |         10 |        205 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\project-container\project-container.component.jsx            | JavaScript React |        306 |          6 |         24 |        336 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\project-container\project-container.styles.scss              | SCSS             |         73 |          6 |          4 |         83 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\scroll-to-top-button\ScrollButton.js                         | JavaScript       |         57 |          3 |          7 |         67 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\scroll-to-top-button\ScrollButton.scss                       | SCSS             |          4 |          0 |          0 |          4 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\search.js                                                    | JavaScript       |         12 |          0 |          3 |         15 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\side-bar\side-bar.component.jsx                              | JavaScript React |        453 |         10 |         22 |        485 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\side-bar\side-bar.styles.scss                                | SCSS             |         19 |          1 |          3 |         23 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sign-in\signin.component.jsx                                 | JavaScript React |        108 |          0 |          4 |        112 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sign-in\signin.styles.scss                                   | SCSS             |         57 |          0 |          2 |         59 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sign-up\signup.component.jsx                                 | JavaScript React |        149 |          7 |          9 |        165 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sign-up\signup.styles.scss                                   | SCSS             |         48 |          0 |          3 |         51 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\allSprint.js                                          | JavaScript       |         96 |          1 |          3 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\allSprintCard.js                                      | JavaScript       |         70 |          1 |          3 |         74 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\chooseMemberCard.js                                   | JavaScript       |        133 |         10 |          5 |        148 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\chooseMemberPage.js                                   | JavaScript       |         95 |          1 |          4 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\chooseTaskCard.js                                     | JavaScript       |        115 |          1 |          7 |        123 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\chooseTaskPage.js                                     | JavaScript       |         95 |          1 |          4 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\createSprintCard.js                                   | JavaScript       |        192 |          6 |          6 |        204 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\createSprintPage.js                                   | JavaScript       |         90 |          1 |          1 |         92 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\doneSprintCard.js                                     | JavaScript       |        260 |          5 |          9 |        274 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\doneSprintPage.js                                     | JavaScript       |         96 |          1 |          3 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\doneSprintViewCard.js                                 | JavaScript       |        199 |          5 |         12 |        216 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\doneSprintViewPage.js                                 | JavaScript       |         96 |          1 |          3 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\editTaskCard.js                                       | JavaScript       |        164 |         14 |          5 |        183 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\editTaskPage.js                                       | JavaScript       |         95 |          1 |          4 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\noSprintCard.js                                       | JavaScript       |         59 |          0 |          6 |         65 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\noSprintPage.js                                       | JavaScript       |         78 |         11 |          1 |         90 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\sprintBacklogCard.js                                  | JavaScript       |         35 |          0 |          4 |         39 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\sprintBacklogPage.js                                  | JavaScript       |         96 |          1 |          3 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\sprintBacklogTable.js                                 | JavaScript       |         82 |          0 |          5 |         87 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\sprintTabPanel.js                                     | JavaScript       |         66 |          1 |         10 |         77 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\taskDeatilCard.js                                     | JavaScript       |        128 |          0 |          7 |        135 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\sprint\taskDetailPage.js                                     | JavaScript       |         96 |          1 |          3 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\task\AddTask.component.js                                    | JavaScript       |         81 |          3 |          1 |         85 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\task\AddTaskCard.js                                          | JavaScript       |        355 |          8 |         21 |        384 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\task\NoTask.js                                               | JavaScript       |         79 |         12 |          2 |         93 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\task\TaskDetail.js                                           | JavaScript       |        103 |          5 |          2 |        110 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\task\TaskDetailCard.js                                       | JavaScript       |         92 |          0 |          8 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\todo\AddTodoForm.js                                          | JavaScript       |         45 |          0 |          6 |         51 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\todo\EditTodo.js                                             | JavaScript       |         53 |          0 |          4 |         57 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\todo\List.js                                                 | JavaScript       |         39 |          0 |          3 |         42 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\todo\Todo.js                                                 | JavaScript       |         67 |          0 |         10 |         77 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\todo\Todocomp.js                                             | JavaScript       |        118 |          5 |         11 |        134 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\user-story\AddStoryCard.js                                   | JavaScript       |        213 |          6 |         15 |        234 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\user-story\AddUserStory.Component.js                         | JavaScript       |         87 |          1 |          1 |         89 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\user-story\NoStory.js                                        | JavaScript       |         79 |         12 |          2 |         93 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\user-story\StoryDetail.js                                    | JavaScript       |        104 |          6 |          2 |        112 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\user-story\StoryDetailCard.js                                | JavaScript       |         91 |          0 |          9 |        100 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\user-story\UserStoryView.js                                  | JavaScript       |         96 |          1 |          2 |         99 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\components\user-story\UserStoryViewCard.js                              | JavaScript       |         91 |          0 |          6 |         97 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\constants.js                                                            | JavaScript       |          2 |          0 |          0 |          2 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\firebase\firebase.utils.js                                              | JavaScript       |         39 |         23 |         11 |         73 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\index.css                                                               | CSS              |         12 |          0 |          3 |         15 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\index.js                                                                | JavaScript       |         15 |          3 |          3 |         21 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\choose-project-page\choose-project-page.component.jsx             | JavaScript React |         14 |          0 |          2 |         16 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\create-project-page\create-project.component.jsx                  | JavaScript React |        196 |          0 |         13 |        209 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\create-project-page\create-project.styles.scss                    | SCSS             |         76 |          1 |          9 |         86 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\education-page\educationpage.component.jsx                        | JavaScript React |        144 |          0 |          6 |        150 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\education-page\educationpage.styles.scss                          | SCSS             |         88 |         11 |         17 |        116 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\home-page\homepage.css                                            | CSS              |         29 |          1 |          2 |         32 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\home-page\homepage.js                                             | JavaScript       |         52 |          0 |          4 |         56 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\join-project-page\join-project.component.jsx                      | JavaScript React |        124 |         31 |         17 |        172 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\join-project-page\join-project.styles.scss                        | SCSS             |         22 |          0 |          3 |         25 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\landing-screen\landingscreen.component.jsx                        | JavaScript React |        147 |          8 |          5 |        160 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\landing-screen\landingscreen.styles.scss                          | SCSS             |        181 |          4 |          8 |        193 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\pending-project\PendingProject.js                                 | JavaScript       |         92 |          1 |          6 |         99 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\product-backlog\productbacklog.js                                 | JavaScript       |         80 |         13 |          2 |         95 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\product-backlog\productbacklog.scss                               | SCSS             |         37 |          4 |          3 |         44 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\profile-page\profile.js                                           | JavaScript       |         18 |          0 |          3 |         21 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\project-detail-page\project-detail.scss                           | SCSS             |        136 |         11 |          6 |        153 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\project-detail-page\projectDetail.component.jsx                   | JavaScript React |        343 |          0 |         19 |        362 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\project-page\project-page.component.jsx                           | JavaScript React |        164 |          5 |          8 |        177 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\project-page\project-page.styles.scss                             | SCSS             |        117 |          2 |          7 |        126 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\sideBar-page\sideBar-page.component.jsx                           | JavaScript React |         17 |          0 |          3 |         20 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\signin-page\signin-page.component.jsx                             | JavaScript React |         10 |          0 |          2 |         12 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\signup-page\signup-page.component.jsx                             | JavaScript React |         12 |          3 |          2 |         17 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\waiting-room\waitingroom.component.jsx                            | JavaScript React |        199 |          1 |         12 |        212 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\waiting-room\waitingroom.js                                       | JavaScript       |         51 |          0 |          4 |         55 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\pages\waiting-room\waitingroom.scss                                     | SCSS             |         93 |          5 |          4 |        102 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\redux\root-reducer.js                                                   | JavaScript       |          5 |          1 |          2 |          8 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\redux\store.js                                                          | JavaScript       |          6 |          0 |          3 |          9 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\redux\user\user.actions.js                                              | JavaScript       |          5 |          0 |          2 |          7 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\redux\user\user.reducer.jsx                                             | JavaScript React |         16 |          0 |          1 |         17 |
| d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\redux\user\user.types.js                                                | JavaScript       |          3 |          0 |          1 |          4 |
| Total                                                                                                                         |                  |     35,883 |        669 |      1,693 |     38,245 |
+-------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
